,datetime,Date,Time,Temp,rain,Day of the Week,School Holiday,Public Holiday,Weekend,type_of_day
266,2024-08-09 14:26:00,2024-08-09,14:26:00,29,1,Friday,0,1,0,3
267,2024-08-09 14:27:00,2024-08-09,14:27:00,29,1,Friday,0,1,0,3
268,2024-08-09 14:28:00,2024-08-09,14:28:00,29,1,Friday,0,1,0,3
269,2024-08-09 14:29:00,2024-08-09,14:29:00,29,1,Friday,0,1,0,3
270,2024-08-09 14:30:00,2024-08-09,14:30:00,29,1,Friday,0,1,0,3
271,2024-08-09 14:31:00,2024-08-09,14:31:00,29,1,Friday,0,1,0,3
272,2024-08-09 14:32:00,2024-08-09,14:32:00,29,1,Friday,0,1,0,3
273,2024-08-09 14:33:00,2024-08-09,14:33:00,29,1,Friday,0,1,0,3
274,2024-08-09 14:34:00,2024-08-09,14:34:00,29,1,Friday,0,1,0,3
275,2024-08-09 14:35:00,2024-08-09,14:35:00,29,1,Friday,0,1,0,3
276,2024-08-09 14:36:00,2024-08-09,14:36:00,29,1,Friday,0,1,0,3
277,2024-08-09 14:37:00,2024-08-09,14:37:00,29,1,Friday,0,1,0,3
278,2024-08-09 14:38:00,2024-08-09,14:38:00,29,1,Friday,0,1,0,3
279,2024-08-09 14:39:00,2024-08-09,14:39:00,29,1,Friday,0,1,0,3
280,2024-08-09 14:40:00,2024-08-09,14:40:00,29,1,Friday,0,1,0,3
281,2024-08-09 14:41:00,2024-08-09,14:41:00,29,1,Friday,0,1,0,3
282,2024-08-09 14:42:00,2024-08-09,14:42:00,29,1,Friday,0,1,0,3
283,2024-08-09 14:43:00,2024-08-09,14:43:00,29,1,Friday,0,1,0,3
284,2024-08-09 14:44:00,2024-08-09,14:44:00,29,1,Friday,0,1,0,3
285,2024-08-09 14:45:00,2024-08-09,14:45:00,29,1,Friday,0,1,0,3
286,2024-08-09 14:46:00,2024-08-09,14:46:00,29,1,Friday,0,1,0,3
287,2024-08-09 14:47:00,2024-08-09,14:47:00,29,1,Friday,0,1,0,3
288,2024-08-09 14:48:00,2024-08-09,14:48:00,29,1,Friday,0,1,0,3
289,2024-08-09 14:49:00,2024-08-09,14:49:00,29,1,Friday,0,1,0,3
290,2024-08-09 14:50:00,2024-08-09,14:50:00,29,1,Friday,0,1,0,3
291,2024-08-09 14:51:00,2024-08-09,14:51:00,29,1,Friday,0,1,0,3
292,2024-08-09 14:52:00,2024-08-09,14:52:00,29,1,Friday,0,1,0,3
293,2024-08-09 14:53:00,2024-08-09,14:53:00,29,1,Friday,0,1,0,3
294,2024-08-09 14:54:00,2024-08-09,14:54:00,29,1,Friday,0,1,0,3
